codigo,descripcion,categoria,precio_unitario,precio_bulto,precio_unitario_sin_iva,precio_bulto_sin_iva,imagen_url,activo,stock_critico
1295,MAIZ MAZOLA PET 12X500ML DESTAC 1339.0,ACEITE,1620.19,19442.28,0.0,16068.0,1295.jpg,TRUE,TRUE
845,AEROSOL FRITOLIN CLAS.12X120GR 1966.00,ACEITE,2378.86,28546.32,2.0,3592.0,845.jpg,TRUE,FALSE
9221,BLEND OLIMAC BID.4X5LT,ACEITE,24578.73,98314.92,20313.0,81252.0,9221.jpg,TRUE,FALSE
6707,COCINERO OLIV./GIRAS.12X1.500LT,ACEITE,5022.71,60272.52,4151.0,49812.0,6707.jpg,TRUE,FALSE
578,GIRASOL BID.4X5LT NATURA SIN TACC,ACEITE,12082.44,48329.77,9985.49,39941.96,578.jpg,TRUE,FALSE
2394,GIRASOL NATURA PET 12X1500 DESTAC 3227.4,ACEITE,3905.26,46863.16,9.0,38729.88,2394.jpg,TRUE,TRUE
1292,GIRASOL NATURA PVC 15X900 2038.30,ACEITE,2466.34,36995.15,30574.0,50.0,1292.jpg,TRUE,FALSE
739,LIRA PET GIRA /OLIVA 12X1 1/2 (2283 4326.0,ACEITE,5234.46,62813.52,0.0,51912.0,739.jpg,TRUE,FALSE
7946,MAIZ LIRA 15X900ML 3117.00,ACEITE,771.57,56573.55,46755.0,3.0,7946.jpg,TRUE,FALSE
8032,OLIVA BIDON CEBILA 4X3LT VIRGEN DE 35999.0,ACEITE,43558.79,174235.16,0.0,143996.0,8032.jpg,TRUE,TRUE
8934,OLIVA BIDON LAUR 2X5LT EX VIRGEN,ACEITE,97175.1,194350.2,80310.0,160620.0,8934.jpg,TRUE,FALSE
6766,OLIVA BIDON TOSCANA 2X5LT EX VIRGEN 78075.0,ACEITE,94470.75,188941.5,0.0,156150.0,6766.jpg,TRUE,FALSE
8749,OLIVA BIDON YANCANELO 2X5LT EX.VIRG 87798.5,ACEITE,106236.23,212472.47,4.0,175597.08,8749.jpg,TRUE,FALSE
1053,OLIVA LATA LIRA 12X1LT EX VIRGEN (2 17756.0,ACEITE,21484.76,257817.12,0.0,213072.0,1053.jpg,TRUE,FALSE
8748,OLIVA LATA YANCANELO 12X1LT EX.VIRG 19422.8,ACEITE,23501.64,282019.63,4.0,233074.08,8748.jpg,TRUE,FALSE
7969,OLIVA PET COCINERO 12X500CC EX.VIRG 7877.0,ACEITE,9531.17,114374.04,0.0,94524.0,7969.jpg,TRUE,FALSE
8755,OLIVA PET LIRA 12X500 EX VIRG INTEN 6299.0,ACEITE,7621.79,91461.48,0.0,75588.0,8755.jpg,TRUE,FALSE
2093,OLIVA PET MONTEOLIVO 24X500CC 2880.00,ACEITE,3484.8,83635.2,69.0,120.0,2093.jpg,TRUE,FALSE
8409,OLIVA PET TOSCANA 12X250 EX VIRGEN,ACEITE,7258.79,87105.48,5999.0,71988.0,8409.jpg,TRUE,FALSE
9063,OLIVA VID.DELICIAS RIOJANAS 8X500 V 10926.0,ACEITE,13220.46,105763.68,0.0,87408.0,9063.jpg,TRUE,FALSE
7579,OLIVA VID.LA POSTA 6X500ML VIRGEN E 6578.0,ACEITE,7959.38,47756.28,0.0,39468.0,7579.jpg,TRUE,FALSE
8933,OLIVA VID.LAUR 12X250 EX VIRGEN,ACEITE,6072.7,72872.4,5018.76,60225.12,8933.jpg,TRUE,FALSE
8932,OLIVA VID.LAUR 6X500 EX VIRGEN (197 9014.7,ACEITE,10907.86,65447.16,6.0,54088.56,8932.jpg,TRUE,FALSE
6413,OLIVA VID.NATURA 6X500 ANDINO EX VI 12569.0,ACEITE,15208.49,91250.94,0.0,75414.0,6413.jpg,TRUE,FALSE
2150,OLIVA VID.TOSCANA 12X500ML EX VIRGE 10695.0,ACEITE,12940.95,155291.4,0.0,128340.0,2150.jpg,TRUE,FALSE
8746,OLIVA VID.YANCANELO 12X500 EX VIRGE 8999.0,ACEITE,10888.79,130665.48,0.0,107988.0,8746.jpg,TRUE,FALSE
9075,PARA FREIR 4X5LT FRITOMAC ALTO REND 11750.0,ACEITE,14217.5,56870.0,0.0,47000.0,9075.jpg,TRUE,FALSE
7612,N°0 DELICIAS GARR.X4.8KG NAT 42322.00,ACEITUN.NEGR.,51209.62,51209.62,423.0,22.0,7612.jpg,TRUE,FALSE
7656,N°0 DELICIAS SACH.6X1KG GRANDES,ACEITUN.NEGR.,11313.5,67881.0,9350.0,56100.0,7656.jpg,TRUE,FALSE
7657,N°0 DELICIAS X1.9KG ESC.FCO O BALDE 18972.0,ACEITUN.NEGR.,22956.12,22956.12,0.0,18972.0,7657.jpg,TRUE,FALSE
7611,N°00 DELICIAS GARR.X4.8KG NAT 51578.00,ACEITUN.NEGR.,62409.38,62409.38,51.0,578.0,7611.jpg,TRUE,FALSE
7613,N°1 DELICIAS X1.9KG ESC.FCO O BALDE 15131.0,ACEITUN.NEGR.,18308.51,18308.51,0.0,15131.0,7613.jpg,TRUE,FALSE
7792,ROD.DELICIAS X1.7KG ESC.FCO O BALDE 17110.0,ACEITUN.NEGR.,20703.1,20703.1,0.0,17110.0,7792.jpg,TRUE,FALSE
7658,ROD.DELICIAS X4KG 36167.00,ACEITUN.NEGR.,62.07,43762.07,36167.0,437.0,7658.jpg,TRUE,FALSE
7610,S/C DELICIAS GARR.X4KG,ACEITUN.NEGR.,50074.64,50074.64,41384.0,41384.0,7610.jpg,TRUE,FALSE
8709,S/C DELICIAS SACHET 6 X 1KG 9979.00,ACEITUN.NEGR.,12074.59,72447.54,5987.0,4.0,8709.jpg,TRUE,FALSE
7609,S/C DELICIAS X3KG (ESCURRIDO X1.7KG 18689.0,ACEITUN.NEGR.,22613.69,22613.69,0.0,18689.0,7609.jpg,TRUE,FALSE
7879,DURANG N°1 FCO 6X330GR SIN TAC 995.8,ACEITUN.VERD,1204.92,7229.51,0.0,5974.8,7879.jpg,TRUE,TRUE
1331,RODAJ.NUCETE X4KG,ACEITUN.VERD,29038.79,29038.79,23999.0,23999.0,1331.jpg,TRUE,TRUE
8133,LIGHT S/C 24X180 NUCETE FCO 2623.00,ACEITUN.VERD,3173.83,76171.92,6295.0,2.0,8133.jpg,TRUE,FALSE
8658,N°0 DELICIAS SACH 6X1KG GRANDES,ACEITUN.VERD,8734.99,52409.94,7219.0,43314.0,8658.jpg,TRUE,FALSE
