codigo,descripcion,categoria,precio_unitario,precio_bulto,imagen_url,activo,stock_critico
1295,MAIZ MAZOLA PET 12X500ML DESTAC,ACEITE,1620.19,19442.28,1295.jpg,True,True
845,AEROSOL FRITOLIN CLAS.12X120GR,ACEITE,2378.86,28546.32,845.jpg,True,False
9221,BLEND OLIMAC BID.4X5LT,ACEITE,24578.73,98314.92,9221.jpg,True,False
6707,COCINERO OLIV./GIRAS.12X1.500LT,ACEITE,5022.71,60272.52,6707.jpg,True,False
578,GIRASOL BID.4X5LT NATURA SIN TACC,ACEITE,12082.44,48329.77,578.jpg,True,False
2394,GIRASOL NATURA PET 12X1500 DESTAC,ACEITE,3905.26,46863.16,2394.jpg,True,True
1292,GIRASOL NATURA PVC 15X900,ACEITE,2466.34,36995.15,1292.jpg,True,False
739,LIRA PET GIRA /OLIVA 12X1 1/2 (2283,ACEITE,5234.46,62813.52,739.jpg,True,False
7946,MAIZ LIRA 15X900ML,ACEITE,771.57,56573.55,7946.jpg,True,False
8032,OLIVA BIDON CEBILA 4X3LT VIRGEN DE,ACEITE,43558.79,174235.16,8032.jpg,True,True
8934,OLIVA BIDON LAUR 2X5LT EX VIRGEN,ACEITE,97175.1,194350.2,8934.jpg,True,False
1906,OLIVA BIDON OLIVARES 4X5LT,ACEITE,25336.19,101344.76,1906.jpg,True,False
6766,OLIVA BIDON TOSCANA 2X5LT EX VIRGEN,ACEITE,94470.75,188941.5,6766.jpg,True,False
8749,OLIVA BIDON YANCANELO 2X5LT EX.VIRG,ACEITE,106236.23,212472.47,8749.jpg,True,False
1053,OLIVA LATA LIRA 12X1LT EX VIRGEN (2,ACEITE,21484.76,257817.12,1053.jpg,True,False
8748,OLIVA LATA YANCANELO 12X1LT EX.VIRG,ACEITE,23501.64,282019.63,8748.jpg,True,False
7969,OLIVA PET COCINERO 12X500CC EX.VIRG,ACEITE,9531.17,114374.04,7969.jpg,True,False
8755,OLIVA PET LIRA 12X500 EX VIRG INTEN,ACEITE,7621.79,91461.48,8755.jpg,True,False
2093,OLIVA PET MONTEOLIVO 24X500CC,ACEITE,3484.8,83635.2,2093.jpg,True,False
8409,OLIVA PET TOSCANA 12X250 EX VIRGEN,ACEITE,7258.79,87105.48,8409.jpg,True,False
9063,OLIVA VID.DELICIAS RIOJANAS 8X500 V,ACEITE,13220.46,105763.68,9063.jpg,True,False
7579,OLIVA VID.LA POSTA 6X500ML VIRGEN E,ACEITE,7959.38,47756.28,7579.jpg,True,False
8933,OLIVA VID.LAUR 12X250 EX VIRGEN,ACEITE,6072.7,72872.4,8933.jpg,True,False
8932,OLIVA VID.LAUR 6X500 EX VIRGEN (197,ACEITE,10907.86,65447.16,8932.jpg,True,False
6413,OLIVA VID.NATURA 6X500 ANDINO EX VI,ACEITE,15208.49,91250.94,6413.jpg,True,False
2150,OLIVA VID.TOSCANA 12X500ML EX VIRGE,ACEITE,12940.95,155291.4,2150.jpg,True,False
8746,OLIVA VID.YANCANELO 12X500 EX VIRGE,ACEITE,10888.79,130665.48,8746.jpg,True,False
9075,PARA FREIR 4X5LT FRITOMAC ALTO REND,ACEITE,14217.5,56870.0,9075.jpg,True,False
7612,N°0 DELICIAS GARR.X4.8KG NAT,ACEITUN.NEGR.,51209.62,51209.62,7612.jpg,True,False
7656,N°0 DELICIAS SACH.6X1KG GRANDES,ACEITUN.NEGR.,11313.5,67881.0,7656.jpg,True,False
7657,N°0 DELICIAS X1.9KG ESC.FCO O BALDE,ACEITUN.NEGR.,22956.12,22956.12,7657.jpg,True,False
7611,N°00 DELICIAS GARR.X4.8KG NAT,ACEITUN.NEGR.,62409.38,62409.38,7611.jpg,True,False
7614,N°1 DELICIAS GARX4.8KG NAT,ACEITUN.NEGR.,40841.13,40841.13,7614.jpg,True,False
7613,N°1 DELICIAS X1.9KG ESC.FCO O BALDE,ACEITUN.NEGR.,18308.51,18308.51,7613.jpg,True,False
7792,ROD.DELICIAS X1.7KG ESC.FCO O BALDE,ACEITUN.NEGR.,20703.1,20703.1,7792.jpg,True,False
7658,ROD.DELICIAS X4KG,ACEITUN.NEGR.,62.07,43762.07,7658.jpg,True,False
7610,S/C DELICIAS GARR.X4KG,ACEITUN.NEGR.,50074.64,50074.64,7610.jpg,True,False
8709,S/C DELICIAS SACHET 6 X 1KG,ACEITUN.NEGR.,12074.59,72447.54,8709.jpg,True,False
7609,S/C DELICIAS X3KG (ESCURRIDO X1.7KG,ACEITUN.NEGR.,22613.69,22613.69,7609.jpg,True,False
7879,DURANG N°1 FCO 6X330GR SIN TAC,ACEITUN.VERD,1204.92,7229.51,7879.jpg,True,True
1331,RODAJ.NUCETE X4KG,ACEITUN.VERD,29038.79,29038.79,1331.jpg,True,True
8133,LIGHT S/C 24X180 NUCETE FCO,ACEITUN.VERD,3173.83,76171.92,8133.jpg,True,False
8658,N°0 DELICIAS SACH 6X1KG GRANDES,ACEITUN.VERD,8734.99,52409.94,8658.jpg,True,False
7888,N°0 DELICIAS X1.9KG ESC.BALDE O FCO,ACEITUN.VERD,17906.79,17906.79,7888.jpg,True,False
7606,N°0 DELICIAS X4.8KG BALDE,ACEITUN.VERD,39350.41,39350.41,7606.jpg,True,False
7604,N°00 DELICIAS SACH 6X1KG,ACEITUN.VERD,9549.32,57295.92,7604.jpg,True,False
7605,N°00 DELICIAS X4.8KG BALDE,ACEITUN.VERD,42501.25,42501.25,7605.jpg,True,False
7607,N°1 DELICIAS GAR.X4.8KG,ACEITUN.VERD,27440.38,27440.38,7607.jpg,True,False
8541,N°1 DELICIAS SACH. 6 X1KG MEDIANAS,ACEITUN.VERD,6091.14,36546.84,8541.jpg,True,False
7707,N°1 DELICIAS X1.9KG ESC.FCO O BALDE,ACEITUN.VERD,12488.41,12488.41,7707.jpg,True,False
8035,N°2 DELICIAS GAR.X4.80KG,ACEITUN.VERD,21204.04,21204.04,8035.jpg,True,False
1278,N°7 NUCETE FCO 24 X 220GR,ACEITUN.VERD,3279.1,78698.4,1278.jpg,True,False
2397,N°7 PREMIUN NUCETE .X5KG,ACEITUN.VERD,40319.62,40319.62,2397.jpg,True,False
7943,RELLENAS DEL.GAR.X4.8KG ESCURRIDO,ACEITUN.VERD,48009.17,48009.17,7943.jpg,True,False
7661,RELLENAS DEL.SACH.6X1KG ESCURRIDO,ACEITUN.VERD,10566.93,63401.58,7661.jpg,True,False
7662,RELLENAS DEL.X1.9KG ESC.FCO O BALDE,ACEITUN.VERD,21033.43,21033.43,7662.jpg,True,False
2704,RELLENAS NUC.24X200 FCO PREMIUN,ACEITUN.VERD,4082.54,97980.96,2704.jpg,True,False
8171,RODAJAS FCO X1.7KG DELICIAS,ACEITUN.VERD,14574.45,14574.45,8171.jpg,True,False
7608,RODAJ.DELICIAS X4KG,ACEITUN.VERD,9075.09,29075.09,7608.jpg,True,False
7663,S/C DELICIAS SACH.6X1KG ESCURRIDO,ACEITUN.VERD,9506.97,57041.82,7663.jpg,True,False
7728,S/C DELICIAS X1.7KG ESC.FCO O BALDE,ACEITUN.VERD,17462.72,17462.72,7728.jpg,True,False
7676,S/C DELICIAS X4KG BALDE ESCURRIDO,ACEITUN.VERD,36047.11,36047.11,7676.jpg,True,False
4760,S/C DURANG X4KG,ACEITUN.VERD,41279.15,41279.15,4760.jpg,True,False
514,S/C NUCETE X4KG DESTACADO DESTAC,ACEITUN.VERD,38296.5,38296.5,514.jpg,True,True
7529,S/C ROTA CEBILA X4KG,ACEITUN.VERD,27267.35,27267.35,7529.jpg,True,False
7617,S/C ROTA STO OLIVO X4KG FILETEADA (,ACEITUN.VERD,24155.23,24155.23,7617.jpg,True,False
111,LA BANDA 12X775GR DESTACADO D,ACELGA,1926.32,23115.84,111.jpg,True,True
1348,LA BANDA CORT.24X350GR,ACELGA,1120.46,26891.04,1348.jpg,True,False
8556,VIDRIO ANTICHI COLLI X500,ACETO,7516.52,7516.52,8556.jpg,True,True
4184,VIDRIO MENOYO 12X250 RESERVA DE,ACETO,1573.0,18876.0,4184.jpg,True,True
7981,BIDON 2X3LT TOSCANA,ACETO,853.79,61707.58,7981.jpg,True,False
8958,BIDON 4X2LT MILLAN ACETAIA,ACETO,17811.75,71247.0,8958.jpg,True,False
